Polish,English
ja,I
jest,is
to,this
i,and
a,"he, she, it (nom.)"
w,in
na,"on, at"
dla,for
że,that
być,to be
mieć,to have
oni,they (nom.)
ona,she (nom.)
my,we (nom.)
nie,not
oni,they (gen.)
ty,you (sg. familiar)
on,he (nom.)
ale,but
or,or
co,what
u,at (someone's place)
me,me
jak,how
mogę,I can
powiedzieć,to say
oni,they (acc.)
ten,this (masc. sg. nom.)
ona,she (acc.)
być,to be (past)
móc,can
chcieć,to want
powiedzieć,to tell
powiedzieć,to ask
robić,to do
polski,Polish
wiedzieć,to know
powiedzieć,to speak
mogę,may I
dobry,good
bardzo,very
powiedzieć,to mean
powiedzieć,to call
powiedzieć,to think
powiedzieć,to look
powiedzieć,to find
powiedzieć,to give
powiedzieć,to take
powiedzieć,to show
powiedzieć,to understand
powiedzieć,to come
powiedzieć,to go
powiedzieć,to live
powiedzieć,to work
powiedzieć,to love
powiedzieć,to help
powiedzieć,to need
powiedzieć,to believe
powiedzieć,to see
powiedzieć,to start
powiedzieć,to stop
powiedzieć,to play
powiedzieć,to eat
powiedzieć,to drink
powiedzieć,to sleep
powiedzieć,to want (past)
powiedzieć,to be able to
powiedzieć,to have to
powiedzieć,to be allowed to
powiedzieć,to seem
powiedzieć,to happen
